frame,key,event
796,'s',Pressed
804,'s',Released
810,'a',Pressed
817,'a',Released
820,'m',Pressed
828,'m',Released
831,'p',Pressed
839,'p',Released
879,Key.shift,Pressed
882,'_',Pressed
888,'-',Released
932,'r',Pressed
937,'a',Pressed
940,'r',Released
945,'a',Released
948,'t',Pressed
953,'t',Released
963,'e',Pressed
972,'e',Released
1111,'f',Pressed
1115,'f',Released
1123,'r',Pressed
1131,'r',Released
1138,'e',Pressed
1145,'q',Pressed
1147,'e',Released
1154,'q',Released
1331,'p',Pressed
1332,'o',Pressed
1334,'o',Released
1380,'w',Pressed
1389,'w',Released
1396,'e',Pressed
1403,'e',Released
1416,'r',Pressed
1425,'r',Released
