frame,key,event
609,Key.caps_lock,Pressed
615,Key.caps_lock,Released
622,'a',Pressed
628,'a',Released
634,'a',Pressed
640,'a',Released
706,'-',Pressed
710,'-',Released
727,'b',Pressed
733,'b',Released
736,'b',Pressed
741,'b',Released
794,'-',Pressed
798,'-',Released
805,'c',Pressed
810,'c',Released
818,'c',Pressed
824,'c',Released
850,'-',Pressed
855,'-',Released
881,'d',Pressed
888,'d',Released
915,'e',Pressed
921,'e',Released
941,'-',Pressed
950,'-',Released
1008,'e',Pressed
1013,'e',Released
1019,'e',Pressed
1024,'e',Released
1072,'-',Pressed
1078,'-',Released
1111,'f',Pressed
1116,'f',Released
1122,'f',Pressed
1128,'f',Released
1182,'f',Pressed
1191,'f',Released
1338,'1',Pressed
1345,'1',Released
1365,'9',Pressed
1369,'9',Released
1373,'2',Pressed
1381,'2',Released
1402,'.',Pressed
1405,'.',Released
1412,'1',Pressed
1419,'1',Released
1453,'6',Pressed
1460,'6',Released
1462,'8',Pressed
1470,'8',Released
1518,'.',Pressed
1525,'.',Released
1528,'1',Pressed
1535,'1',Released
1544,'.',Pressed
1551,'.',Released
1616,'4',Pressed
1621,'4',Released
1630,'9',Pressed
1635,'9',Released
