frame,key,event
329,'1',Pressed
333,'1',Released
339,'0',Pressed
343,'0',Released
350,'2',Pressed
355,'2',Released
362,'4',Pressed
367,'4',Released
541,'f',Pressed
545,'f',Released
562,'r',Pressed
567,'r',Released
603,'e',Pressed
609,'q',Pressed
610,'e',Released
618,'q',Released
775,Key.shift,Pressed
779,'*',Pressed
784,'*',Released
785,Key.shift,Released
879,'1',Pressed
884,'1',Released
914,'e',Pressed
921,'e',Released
938,'6',Pressed
944,'6',Released
1106,'s',Pressed
1113,'s',Released
1123,'a',Pressed
1130,'a',Released
1157,'m',Pressed
1165,'m',Released
1170,'p',Pressed
1176,'p',Released
1191,Key.shift,Pressed
1197,'_',Pressed
1202,'_',Released
1205,Key.shift,Released
1225,'r',Pressed
1231,'r',Released
1233,'a',Pressed
1240,'t',Pressed
1244,'t',Released
1247,'e',Pressed
1255,'e',Released
1433,'1',Pressed
1440,'1',Released
1480,'0',Pressed
1487,'0',Released
