frame,key,event
258,Key.shift,Pressed
271,"'""'",Pressed
276,"'""'",Released
282,"'""'",Pressed
287,"'""'",Released
295,Key.shift,Released
319,Key.left,Pressed
324,Key.left,Released
944,Key.backspace,Pressed
950,Key.backspace,Released
981,Key.right,Pressed
986,Key.right,Released
1001,Key.backspace,Pressed
1008,Key.backspace,Released
1036,'p',Pressed
1041,'p',Released
1042,'a',Pressed
1050,'a',Released
1055,'c',Pressed
1058,'k',Pressed
1061,'c',Released
1064,'k',Released
1072,'e',Pressed
1077,'e',Released
1085,'t',Pressed
1090,'t',Released
1100,Key.shift,Pressed
1106,'_',Pressed
1110,'-',Released
1124,'l',Pressed
1129,'l',Released
1132,'e',Pressed
1138,'e',Released
1139,'n',Pressed
1142,'n',Released
