frame,x,y,button,event
13,103,265,Button.left,Pressed
18,103,265,Button.left,Released
58,143,277,Button.left,Pressed
62,143,278,Button.left,Released
280,97,515,Button.left,Pressed
285,97,515,Button.left,Released
332,242,533,Button.left,Pressed
336,242,533,Button.left,Released
532,239,552,Button.left,Pressed
536,239,552,Button.left,Released
780,241,653,Button.left,Pressed
786,241,652,Button.left,Released
941,233,769,Button.left,Pressed
946,233,770,Button.left,Released
1024,92,682,Button.left,Pressed
1029,92,682,Button.left,Released
1084,255,691,Button.left,Pressed
1090,255,691,Button.left,Released
1263,247,792,Button.left,Pressed
1268,247,792,Button.left,Released
1368,1829,44,Button.left,Pressed
1374,1829,44,Button.left,Released
