frame,key,event
247,'0',Pressed
250,'0',Released
513,'-',Pressed
518,'-',Released
544,'0',Pressed
549,",",Pressed
552,'0',Released
556,",",Released
559,'1',Pressed
564,'1',Released
725,'0',Pressed
731,",",Pressed
734,'0',Released
736,",",Released
742,'1',Pressed
748,'1',Released
863,'0',Pressed
872,'0',Released
874,",",Pressed
881,",",Released
893,'0',Pressed
898,'0',Released
923,'0',Pressed
929,'0',Released
955,'1',Pressed
961,'1',Released
1060,'2',Pressed
1063,'2',Released
1070,'0',Pressed
1073,'0',Released
1078,'0',Pressed
1081,'0',Released
