frame,x,y,button,event
31,1070,806,Button.left,Pressed
34,1070,806,Button.left,Released
36,1070,806,Button.left,Pressed
43,1070,806,Button.left,Released
116,974,514,Button.left,Pressed
117,974,514,Button.left,Released
297,934,552,Button.left,Pressed
302,934,552,Button.left,Released
625,901,576,Button.left,Pressed
629,901,576,Button.left,Released
815,893,613,Button.left,Pressed
817,893,613,Button.left,Released
1019,914,676,Button.left,Pressed
1022,914,676,Button.left,Released
1259,1044,864,Button.left,Pressed
1263,1044,864,Button.left,Released
