frame,key,event
643,'1',Pressed
648,'1',Released
655,'0',Pressed
660,'0',Released
675,'2',Pressed
680,'2',Released
687,'4',Pressed
691,'4',Released
851,'d',Pressed
861,'d',Released
862,'s',Pressed
868,'s',Released
906,Key.backspace,Pressed
911,Key.backspace,Released
915,Key.backspace,Pressed
919,Key.backspace,Released
920,'s',Pressed
925,'a',Pressed
930,'s',Released
933,'a',Released
936,'m',Pressed
943,'p',Pressed
944,'m',Released
949,'p',Released
982,Key.shift,Pressed
987,'_',Pressed
991,'_',Released
992,Key.shift,Released
1014,'r',Pressed
1021,'a',Pressed
1023,'r',Released
1028,'a',Released
1033,'t',Released
1035,'e',Pressed
1042,'e',Released
