frame,x,y,button,event
47,75,397,Button.left,Pressed
52,75,397,Button.left,Released
131,253,341,Button.left,Pressed
134,253,341,Button.left,Released
210,618,288,Button.left,Pressed
216,618,288,Button.left,Released
364,665,398,Button.left,Pressed
368,665,398,Button.left,Released
614,614,319,Button.left,Pressed
619,613,319,Button.left,Released
674,665,356,Button.left,Pressed
679,665,356,Button.left,Released
768,623,330,Button.left,Pressed
773,623,330,Button.left,Released
833,675,382,Button.left,Pressed
838,675,382,Button.left,Released
912,606,424,Button.left,Pressed
916,606,424,Button.left,Released
