frame,x,y,button,event
25,266,703,Button.left,Pressed
33,266,703,Button.left,Released
97,335,888,Button.left,Pressed
179,414,886,Button.left,Released
224,370,870,Button.left,Pressed
277,388,873,Button.left,Released
311,371,855,Button.left,Pressed
424,372,855,Button.left,Released
457,450,840,Button.left,Pressed
532,477,843,Button.left,Released
585,377,821,Button.left,Pressed
634,375,821,Button.left,Released
675,454,804,Button.left,Pressed
767,398,814,Button.left,Released
806,480,786,Button.left,Pressed
908,382,799,Button.left,Released
952,375,825,Button.left,Pressed
1037,375,824,Button.left,Released
1071,398,808,Button.left,Pressed
1131,390,807,Button.left,Released
1173,388,808,Button.left,Pressed
1210,409,808,Button.left,Released
1256,471,835,Button.left,Pressed
1366,413,838,Button.left,Released
1415,370,855,Button.left,Pressed
1452,379,853,Button.left,Released
1480,382,876,Button.left,Pressed
1541,360,872,Button.left,Released
1582,405,888,Button.left,Pressed
1667,360,884,Button.left,Released
1709,203,712,Button.left,Pressed
1714,203,712,Button.left,Released
1826,270,848,Button.left,Pressed
1832,270,848,Button.left,Released
1947,312,901,Button.left,Pressed
1951,312,901,Button.left,Released
1981,196,776,Button.left,Pressed
1988,196,776,Button.left,Released
