frame,key,event
480,Key.caps_lock,Pressed
486,Key.caps_lock,Released
494,'a',Pressed
501,'a',Released
507,'a',Pressed
515,'a',Released
536,'-',Pressed
544,'-',Released
567,'b',Pressed
572,'b',Released
578,'b',Pressed
584,'b',Released
693,'-',Pressed
699,'-',Released
704,'c',Pressed
711,'c',Released
716,'c',Pressed
724,'c',Released
817,'-',Pressed
821,'-',Released
831,'c',Pressed
838,'c',Released
901,'d',Pressed
909,'d',Released
981,'-',Pressed
987,'-',Released
1011,'d',Pressed
1017,'d',Released
1024,'e',Pressed
1031,'e',Released
