frame,x,y
0,1474,212
1,1464,195
2,1468,198
3,1468,200
4,1468,200
5,1468,195
6,1463,200
7,1447,212
8,1388,261
9,1373,271
10,1371,267
11,1371,267
12,1371,271
13,1371,271
14,1364,267
15,1324,264
16,1077,313
17,931,383
18,929,416
19,928,428
20,929,423
21,934,418
22,934,418
23,945,408
24,953,406
25,1078,396
26,1307,394
27,1375,415
28,1381,422
29,1386,430
30,1386,435
31,1386,433
32,1283,457
33,1095,491
34,1006,521
35,948,569
36,945,582
37,972,598
38,989,591
39,987,596
40,980,572
41,955,569
42,953,569
43,953,569
44,956,537
