frame,key,event
447,'1',Pressed
452,'1',Released
457,'0',Pressed
462,'0',Released
468,'2',Pressed
473,'2',Released
479,'4',Pressed
484,'4',Released
735,'s',Pressed
744,'s',Released
750,'a',Pressed
757,'a',Released
780,'m',Pressed
787,'p',Pressed
788,'m',Released
792,'p',Released
800,Key.shift,Pressed
805,'_',Pressed
811,'_',Released
812,Key.shift,Released
818,'r',Pressed
825,'a',Pressed
826,'r',Released
832,'a',Released
839,'t',Pressed
844,'t',Released
845,'e',Pressed
854,'e',Released
1141,'0',Pressed
1149,'0',Released
1237,'1',Pressed
1245,'1',Released
1254,'0',Pressed
1262,'0',Released
