frame,x,y,button,event
76,1610,622,Button.left,Pressed
101,1687,621,Button.left,Released
138,1683,624,Button.left,Pressed
166,1730,622,Button.left,Released
200,1726,624,Button.left,Pressed
220,1745,623,Button.left,Released
275,1738,622,Button.left,Pressed
343,1593,618,Button.left,Released
386,1590,620,Button.left,Pressed
455,1764,624,Button.left,Released
506,1034,618,Button.left,Pressed
534,962,621,Button.left,Released
637,277,618,Button.left,Pressed
660,340,619,Button.left,Released
700,346,623,Button.left,Pressed
725,464,626,Button.left,Released
850,455,622,Button.left,Pressed
890,382,620,Button.left,Released
942,375,621,Button.left,Pressed
1003,262,619,Button.left,Released
1131,967,620,Button.left,Pressed
1160,998,620,Button.left,Released
