frame,x,y,button,event
331,532,764,Button.left,Pressed
338,532,764,Button.left,Released
347,532,764,Button.left,Pressed
353,532,764,Button.left,Released
408,532,764,Button.left,Pressed
415,532,764,Button.left,Released
489,432,764,Button.left,Pressed
495,432,764,Button.left,Released
505,432,764,Button.left,Pressed
510,432,764,Button.left,Released
517,432,764,Button.left,Pressed
523,432,764,Button.left,Released
531,432,764,Button.left,Pressed
537,432,764,Button.left,Released
552,432,764,Button.left,Pressed
559,432,764,Button.left,Released
666,353,1007,Button.left,Pressed
674,353,1007,Button.left,Released
