frame,key,event
1,Key.backspace,Released
5,Key.backspace,Released
10,Key.backspace,Released
15,Key.backspace,Released
19,Key.backspace,Released
24,Key.backspace,Released
29,Key.backspace,Pressed
30,Key.backspace,Released
33,Key.backspace,Released
38,Key.backspace,Released
43,Key.backspace,Released
47,Key.backspace,Released
83,'i',Released
89,'c',Released
95,'m',Released
105,'p',Pressed
106,'p',Released
120,Key.enter,Released
152,Key.shift,Pressed
160,Key.shift,Released
195,Key.enter,Released
