frame,key,event
428,'s',Pressed
438,'s',Released
446,'a',Released
450,'m',Pressed
457,'m',Released
462,'p',Pressed
468,'p',Released
476,'l',Pressed
483,'e',Pressed
485,'l',Released
491,'e',Released
502,Key.backspace,Pressed
506,Key.backspace,Released
511,Key.backspace,Pressed
516,Key.backspace,Released
555,Key.shift,Pressed
558,'_',Pressed
563,'_',Released
564,Key.shift,Released
576,'r',Pressed
586,'a',Pressed
587,'r',Released
594,'a',Released
627,'t',Pressed
631,'t',Released
632,'e',Pressed
642,'e',Released
