frame,key,event
362,'n',Pressed
371,'n',Released
382,'o',Pressed
389,'o',Released
478,'i',Pressed
485,'i',Released
491,'s',Pressed
497,'s',Released
503,'e',Pressed
511,'e',Released
533,Key.shift,Pressed
537,'_',Pressed
541,'_',Released
542,Key.shift,Released
563,'v',Pressed
572,'v',Released
578,'o',Pressed
586,'o',Released
642,'l',Pressed
649,'l',Released
675,'t',Pressed
686,'t',Released
776,'f',Pressed
782,'f',Released
799,'r',Pressed
805,'r',Released
822,'e',Pressed
830,'e',Released
852,'q',Pressed
861,'q',Released
895,Key.shift,Pressed
899,'_',Pressed
904,'-',Released
913,'o',Pressed
918,'o',Released
931,'f',Pressed
936,'f',Released
940,'f',Pressed
947,'f',Released
954,'s',Pressed
961,'s',Released
967,'e',Pressed
973,'e',Released
988,'t',Pressed
996,'t',Released
1167,'t',Pressed
1173,'t',Released
1181,'i',Pressed
1185,'i',Released
1191,'m',Pressed
1196,'m',Released
1199,'e',Pressed
1206,'e',Released
1215,Key.shift,Pressed
1220,'_',Pressed
1225,'-',Released
1291,'o',Pressed
1298,'o',Released
1306,'f',Pressed
1311,'f',Released
1316,'f',Pressed
1324,'f',Released
1333,'s',Pressed
1340,'s',Released
1343,'e',Pressed
1348,'e',Released
1360,'t',Pressed
1368,'t',Released
1570,'t',Pressed
1579,'a',Pressed
1588,'a',Released
1598,'p',Pressed
1602,'p',Released
1604,'s',Pressed
1613,'s',Released
