frame,x,y,button,event
1,1034,501,Button.left,Pressed
4,1034,501,Button.left,Released
9,1034,501,Button.left,Pressed
16,1034,501,Button.left,Released
150,1007,420,Button.left,Pressed
153,1007,420,Button.left,Released
744,959,452,Button.left,Pressed
749,959,452,Button.left,Released
1123,952,482,Button.left,Pressed
1127,952,482,Button.left,Released
1424,920,510,Button.left,Pressed
1428,920,510,Button.left,Released
2386,1061,870,Button.left,Pressed
2387,1061,870,Button.left,Released
2410,1070,856,Button.left,Pressed
2412,1070,856,Button.left,Released
