frame,key,event
848,Key.enter,Released
1746,Key.backspace,Released
1784,Key.enter,Released
3145,Key.shift,Pressed
3152,'w',Pressed
3153,Key.shift,Pressed
3154,'i',Pressed
3155,Key.shift,Pressed
3156,'r',Pressed
3157,'r',Released
3158,Key.shift,Released
3159,'e',Released
3160,Key.shift,Released
3339,'s',Released
3346,'h',Pressed
3347,'h',Released
3352,'a',Released
3363,'r',Released
3369,'k',Released
3482,'-',Pressed
3483,'-',Released
3497,'s',Released
3517,'t',Released
3522,'u',Pressed
3523,'u',Released
3531,'d',Pressed
3532,'d',Released
3536,'e',Pressed
3537,'e',Released
3541,'n',Pressed
3542,'n',Released
3550,'t',Pressed
3551,'t',Released
3562,'s',Pressed
3563,'s',Released
3587,Key.tab,Released
