frame,x,y,button,event
139,1303,577,Button.left,Pressed
144,1303,577,Button.left,Released
357,642,254,Button.left,Pressed
360,642,255,Button.left,Released
757,460,161,Button.left,Pressed
762,460,161,Button.left,Released
1126,30,560,Button.left,Pressed
1129,30,560,Button.left,Released
1163,197,553,Button.left,Pressed
1169,197,553,Button.left,Released
1251,643,178,Button.left,Pressed
1255,643,178,Button.left,Released
1389,696,163,Button.left,Released
1436,683,194,Button.left,Pressed
1440,683,194,Button.left,Released
1643,798,149,Button.left,Pressed
1648,798,149,Button.left,Released
1678,760,197,Button.left,Pressed
1683,760,197,Button.left,Released
3151,707,163,Button.left,Pressed
3154,707,163,Button.left,Released
3252,40,56,Button.left,Pressed
3258,40,56,Button.left,Released
3392,318,1056,Button.left,Pressed
3395,318,1056,Button.left,Released
3444,448,951,Button.left,Pressed
3449,448,951,Button.left,Released
3492,1003,839,Button.left,Pressed
3498,1003,839,Button.left,Released
