frame,x,y,button,event
144,547,372,Button.left,Pressed
155,547,372,Button.left,Released
345,1050,546,Button.left,Pressed
352,1048,546,Button.left,Released
541,982,666,Button.left,Pressed
548,982,666,Button.left,Released
1314,1127,664,Button.left,Pressed
1319,1127,664,Button.left,Released
1485,1237,673,Button.left,Pressed
1490,1237,672,Button.left,Released
1817,1174,717,Button.left,Pressed
1825,1174,717,Button.left,Released
1873,1054,738,Button.left,Pressed
1882,1054,738,Button.left,Released
