frame,key,event
985,'1',Pressed
992,'1',Released
1014,'9',Pressed
1019,'9',Released
1027,'2',Pressed
1034,'2',Released
1042,'.',Pressed
1046,'.',Released
1054,'1',Pressed
1062,'1',Released
1072,'6',Pressed
1077,'6',Released
1091,'8',Pressed
1095,'8',Released
1115,'.',Pressed
1119,'.',Released
1190,'5',Pressed
1194,'5',Released
1203,'0',Pressed
1208,'0',Released
1219,'.',Pressed
1223,'.',Released
1278,'3',Pressed
1283,'3',Released
1395,'1',Pressed
1401,'1',Released
1404,'0',Pressed
1409,'0',Released
1513,'1',Pressed
1520,'1',Released
1530,'0',Pressed
1535,'0',Released
