frame,key,event
283,'p',Pressed
291,'p',Released
296,'c',Pressed
306,'c',Released
316,'s',Pressed
324,'s',Released
356,Key.shift,Pressed
361,'_',Pressed
365,'_',Released
367,Key.shift,Released
375,'s',Pressed
383,'s',Released
386,'p',Pressed
392,'p',Released
403,'s',Pressed
412,'s',Released
458,Key.shift,Pressed
462,'_',Pressed
466,'_',Released
468,Key.shift,Released
485,'i',Pressed
489,'i',Released
502,'n',Pressed
508,'n',Released
675,'t',Pressed
684,'t',Released
694,'i',Pressed
700,'i',Released
713,'m',Pressed
721,'m',Released
754,'i',Pressed
760,'i',Released
767,'n',Pressed
772,'n',Released
780,'g',Pressed
787,'g',Released
799,Key.shift,Pressed
803,'_',Pressed
807,'_',Released
809,Key.shift,Released
819,'l',Pressed
824,'l',Released
836,'o',Pressed
840,'o',Released
846,'o',Pressed
850,'o',Released
861,'p',Pressed
868,'p',Released
905,Key.shift,Pressed
908,'_',Pressed
914,'_',Released
915,Key.shift,Released
931,'b',Pressed
937,'b',Released
952,'w',Pressed
962,'w',Released
1142,'r',Pressed
1151,'r',Released
1245,'r',Pressed
1251,'r',Released
1283,'c',Pressed
1290,'c',Released
1306,Key.shift,Pressed
1312,'_',Pressed
1317,Key.shift,Released
1318,'-',Released
1331,'t',Pressed
1339,'t',Released
1340,'a',Pressed
1348,'a',Released
1349,'p',Pressed
1354,'p',Released
1393,'s',Pressed
1401,'s',Released
1614,'n',Pressed
1622,'n',Released
1674,'f',Pressed
1682,'f',Released
1748,'i',Pressed
1757,'i',Released
1926,'l',Pressed
1930,'l',Released
1951,'t',Pressed
1956,'t',Released
1961,'s',Pressed
1969,'s',Released
2198,'n',Pressed
2203,'n',Released
2247,'f',Pressed
2256,'f',Released
2289,'i',Pressed
2297,'i',Released
2398,'l',Pressed
2405,'l',Released
2435,'t',Pressed
2440,'t',Released
2460,'s',Pressed
2468,'s',Released
2492,'/',Pressed
2496,'/',Released
2507,'2',Pressed
2516,'2',Released
2621,'0',Pressed
2630,'0',Released
2634,",",Pressed
2643,",",Released
2673,<65437>,Pressed
2679,<65437>,Released
2817,'p',Pressed
2824,'p',Released
2844,'c',Pressed
2852,'c',Released
2870,'s',Pressed
2877,'s',Released
2900,Key.shift,Pressed
2906,'_',Pressed
2909,'_',Released
2912,Key.shift,Released
2920,'s',Pressed
2925,'p',Pressed
2926,'s',Released
2931,'p',Released
2936,'s',Pressed
2944,'s',Released
2983,Key.shift,Pressed
2986,'_',Pressed
2991,'_',Released
2994,Key.shift,Released
3000,'o',Pressed
3005,'o',Released
3017,'u',Pressed
3021,'u',Released
3029,'t',Pressed
3037,'t',Released
