frame,x,y,button,event
27,289,417,Button.left,Pressed
31,289,417,Button.left,Released
67,402,423,Button.left,Pressed
72,402,423,Button.left,Released
158,457,409,Button.left,Pressed
163,457,409,Button.left,Released
220,878,353,Button.left,Pressed
225,878,353,Button.left,Released
480,81,519,Button.left,Pressed
485,81,519,Button.left,Released
534,316,616,Button.left,Pressed
541,316,623,Button.left,Released
557,318,626,Button.left,Pressed
561,318,626,Button.left,Released
590,383,635,Button.left,Pressed
595,383,635,Button.left,Released
689,466,407,Button.left,Pressed
694,466,407,Button.left,Released
699,466,407,Button.left,Pressed
703,466,407,Button.left,Released
