frame,x,y,button,event
20,535,556,Button.left,Pressed
27,535,556,Button.left,Released
31,535,556,Button.left,Pressed
38,535,556,Button.left,Released
297,1285,352,Button.left,Pressed
302,1285,352,Button.left,Released
385,473,205,Button.left,Pressed
392,473,205,Button.left,Released
474,644,205,Button.left,Pressed
478,644,205,Button.left,Released
481,644,205,Button.left,Pressed
487,644,205,Button.left,Released
565,698,205,Button.left,Pressed
569,698,205,Button.left,Released
573,698,205,Button.left,Pressed
578,698,205,Button.left,Released
662,952,467,Button.left,Pressed
669,952,467,Button.left,Released
871,932,404,Button.left,Pressed
922,930,371,Button.left,Released
974,976,524,Button.left,Pressed
981,976,524,Button.left,Released
1051,969,558,Button.left,Pressed
1055,969,558,Button.left,Released
1227,1048,790,Button.left,Pressed
1231,1048,790,Button.left,Released
