frame,x,y,button,event
22,231,173,Button.left,Pressed
26,231,173,Button.left,Released
30,231,173,Button.left,Pressed
35,231,173,Button.left,Released
86,964,362,Button.left,Pressed
91,964,362,Button.left,Released
241,983,402,Button.left,Pressed
246,983,402,Button.left,Released
271,988,398,Button.left,Pressed
278,988,398,Button.left,Released
477,993,585,Button.left,Pressed
506,993,585,Button.left,Released
551,982,589,Button.left,Pressed
554,982,589,Button.left,Released
579,1027,617,Button.left,Pressed
587,1027,617,Button.left,Released
613,968,651,Button.left,Pressed
617,968,651,Button.left,Released
717,1059,793,Button.left,Pressed
741,1059,793,Button.left,Released
