frame,x,y,button,event
62,573,651,Button.left,Pressed
68,573,651,Button.left,Released
182,1119,220,Button.left,Pressed
195,1119,220,Button.left,Released
301,982,367,Button.left,Pressed
308,982,367,Button.left,Released
397,973,395,Button.left,Pressed
403,973,395,Button.left,Released
447,985,406,Button.left,Pressed
453,985,406,Button.left,Released
496,975,430,Button.left,Pressed
503,975,431,Button.left,Released
548,983,445,Button.left,Pressed
555,983,445,Button.left,Released
607,979,478,Button.left,Pressed
612,979,478,Button.left,Released
672,971,481,Button.left,Pressed
676,971,480,Button.left,Released
720,975,509,Button.left,Pressed
726,975,509,Button.left,Released
771,980,525,Button.left,Pressed
777,980,525,Button.left,Released
819,977,550,Button.left,Pressed
826,977,550,Button.left,Released
863,987,563,Button.left,Pressed
870,987,563,Button.left,Released
917,972,581,Button.left,Pressed
923,972,581,Button.left,Released
1023,1057,681,Button.left,Pressed
1031,1057,681,Button.left,Released
