frame,key,event
264,Key.backspace,Pressed
294,Key.backspace,Pressed
296,Key.backspace,Pressed
298,Key.backspace,Pressed
300,Key.backspace,Pressed
302,Key.backspace,Pressed
303,Key.backspace,Pressed
305,Key.backspace,Pressed
307,Key.backspace,Pressed
309,Key.backspace,Pressed
311,Key.backspace,Pressed
313,Key.backspace,Pressed
314,Key.backspace,Pressed
316,Key.backspace,Pressed
318,Key.backspace,Pressed
320,Key.backspace,Released
353,'r',Pressed
361,'r',Released
366,'a',Pressed
371,'n',Pressed
375,'a',Released
378,'n',Released
386,'g',Pressed
393,'e',Pressed
403,'e',Released
