frame,x,y,button,event
22,387,871,Button.left,Released
123,414,887,Button.left,Pressed
445,372,904,Button.left,Released
482,398,804,Button.left,Pressed
681,402,820,Button.left,Released
715,386,827,Button.left,Pressed
829,375,828,Button.left,Released
860,366,786,Button.left,Pressed
985,385,785,Button.left,Released
1013,402,803,Button.left,Pressed
1133,408,806,Button.left,Released
1168,386,786,Button.left,Pressed
1442,374,797,Button.left,Released
1479,374,821,Button.left,Pressed
1556,410,805,Button.left,Released
1569,404,806,Button.left,Pressed
1686,416,811,Button.left,Released
1733,407,827,Button.left,Pressed
