frame,key,event
272,'0',Pressed
279,",",Pressed
287,",",Released
296,'0',Pressed
301,'0',Released
304,'0',Pressed
312,'0',Released
330,'0',Pressed
335,'0',Released
359,'1',Pressed
365,'1',Released
561,'0',Pressed
566,'0',Released
658,'1',Pressed
662,'1',Released
757,'0',Pressed
763,'0',Released
767,",",Pressed
772,",",Released
778,'0',Pressed
784,'0',Released
794,'1',Pressed
802,'1',Released
898,'2',Pressed
901,'2',Released
906,'0',Pressed
911,'0',Released
914,'0',Pressed
919,'0',Released
