frame,key,event
405,Key.shift,Pressed
409,"'""'",Pressed
413,"'""'",Released
416,"'""'",Pressed
420,"'""'",Released
423,Key.shift,Released
446,Key.left,Pressed
452,'d',Pressed
458,'d',Released
493,Key.backspace,Pressed
494,'a',Pressed
497,Key.backspace,Released
502,'a',Released
505,'d',Pressed
510,'d',Released
515,'d',Pressed
519,'d',Released
542,'r',Pressed
550,'r',Released
571,'=',Pressed
577,'=',Released
679,'1',Pressed
686,'1',Released
688,'9',Pressed
694,'9',Released
701,'2',Pressed
706,'2',Released
714,",",Pressed
718,",",Released
730,'1',Pressed
736,'1',Released
737,'6',Pressed
743,'6',Released
752,'8',Pressed
756,'8',Released
847,",",Pressed
851,",",Released
868,'4',Pressed
872,'4',Released
878,'0',Pressed
882,'0',Released
892,",",Pressed
897,",",Released
903,'2',Pressed
907,'2',Released
1191,'s',Pressed
1199,'s',Released
1212,'a',Pressed
1218,'a',Released
1238,'m',Pressed
1243,'p',Pressed
1245,'m',Released
1250,'p',Released
1258,Key.shift,Pressed
1261,'_',Pressed
1267,'-',Released
1275,'r',Pressed
1281,'a',Pressed
1282,'r',Released
1287,'a',Released
1293,'t',Pressed
1297,'t',Released
1299,'e',Pressed
1304,'e',Released
