frame,key,event
614,Key.shift,Pressed
618,"'""'",Pressed
621,"'""'",Released
624,"'""'",Pressed
628,"'""'",Released
633,Key.shift,Released
653,Key.left,Pressed
660,Key.left,Released
661,'a',Pressed
668,'d',Pressed
673,'d',Released
677,'d',Pressed
684,'d',Released
710,'r',Pressed
717,'r',Released
732,'=',Pressed
737,'=',Released
790,'1',Pressed
795,'9',Pressed
796,'1',Released
801,'9',Released
809,'2',Pressed
813,'2',Released
820,",",Pressed
825,",",Released
837,'1',Pressed
843,'6',Pressed
844,'1',Released
849,'6',Released
856,'8',Pressed
860,'8',Released
878,",",Pressed
883,",",Released
898,'4',Pressed
900,'4',Released
903,'0',Pressed
906,'0',Released
942,",",Pressed
948,",",Released
952,'2',Released
1181,'s',Pressed
1190,'a',Pressed
1192,'s',Released
1195,'a',Released
1202,'m',Pressed
1210,'o',Pressed
1216,'o',Released
1250,Key.backspace,Pressed
1259,Key.backspace,Released
1264,'p',Pressed
1270,'p',Released
1273,Key.shift,Pressed
1278,'_',Pressed
1283,'-',Released
1299,'r',Pressed
1305,'a',Pressed
1307,'r',Released
1314,'a',Released
1333,'t',Pressed
1338,'t',Released
1347,'e',Released
