frame,x,y,button,event
53,367,873,Button.left,Pressed
60,367,873,Button.left,Released
107,363,872,Button.left,Pressed
279,344,873,Button.left,Released
568,373,804,Button.left,Pressed
708,392,813,Button.left,Released
767,359,877,Button.left,Pressed
809,367,877,Button.left,Released
850,390,809,Button.left,Pressed
1000,392,810,Button.left,Released
1130,387,808,Button.left,Pressed
1257,337,815,Button.left,Released
1308,342,806,Button.left,Pressed
1359,355,809,Button.left,Released
1432,372,840,Button.left,Pressed
1624,332,846,Button.left,Released
1653,351,807,Button.left,Pressed
1783,360,809,Button.left,Released
1811,350,840,Button.left,Pressed
1847,353,837,Button.left,Released
1870,358,808,Button.left,Pressed
1972,379,808,Button.left,Released
2046,358,835,Button.left,Pressed
2312,351,839,Button.left,Released
2347,207,709,Button.left,Pressed
2352,207,709,Button.left,Released
2381,184,779,Button.left,Pressed
2385,184,779,Button.left,Released
