frame,key,event
0,Key.backspace,Released
9,Key.backspace,Released
16,Key.backspace,Pressed
17,Key.backspace,Released
24,Key.backspace,Released
29,Key.backspace,Pressed
30,Key.backspace,Released
58,'p',Released
69,'i',Released
76,'n',Released
80,'g',Pressed
81,'g',Released
90,Key.space,Released
124,'-',Released
143,'n',Released
161,Key.space,Released
177,'1',Pressed
178,'1',Released
184,'0',Pressed
185,'0',Released
198,Key.space,Pressed
199,Key.space,Released
218,'w',Pressed
219,'w',Released
227,'w',Pressed
228,'w',Released
234,'w',Pressed
235,'w',Released
265,'.',Pressed
266,'.',Released
285,'u',Released
290,'s',Pressed
291,'s',Released
306,'t',Released
315,'.',Released
340,'h',Pressed
341,'h',Released
344,'k',Released
365,Key.enter,Pressed
366,Key.enter,Released
