frame,x,y,button,event
385,508,272,Button.left,Pressed
389,508,272,Button.left,Released
452,506,121,Button.left,Pressed
458,506,121,Button.left,Released
483,506,121,Button.left,Pressed
485,506,121,Button.left,Released
669,427,146,Button.left,Pressed
672,427,146,Button.left,Released
729,411,133,Button.left,Pressed
737,411,133,Button.left,Released
812,12,660,Button.left,Pressed
816,12,660,Button.left,Released
856,10,696,Button.left,Pressed
861,10,696,Button.left,Released
980,12,678,Button.left,Pressed
984,12,678,Button.left,Released
1035,187,717,Button.left,Pressed
1040,188,717,Button.left,Released
