frame,x,y,button,event
31,433,367,Button.left,Pressed
40,433,367,Button.left,Released
88,331,372,Button.left,Pressed
97,331,372,Button.left,Released
136,614,286,Button.left,Pressed
145,614,286,Button.left,Released
223,658,454,Button.left,Pressed
232,658,454,Button.left,Released
251,639,381,Button.left,Pressed
259,639,381,Button.left,Released
276,580,386,Button.left,Pressed
283,580,386,Button.left,Released
475,70,309,Button.left,Pressed
490,70,309,Button.left,Released
822,81,401,Button.left,Pressed
827,81,401,Button.left,Released
860,55,395,Button.left,Pressed
863,55,395,Button.left,Released
1250,56,437,Button.left,Pressed
1257,56,437,Button.left,Released
