frame,x,y,button,event
59,195,1013,Button.left,Pressed
66,195,1013,Button.left,Released
249,188,963,Button.left,Pressed
256,188,963,Button.left,Released
352,232,1009,Button.left,Pressed
359,232,1010,Button.left,Released
471,435,767,Button.left,Pressed
477,435,767,Button.left,Released
485,435,767,Button.left,Pressed
490,435,767,Button.left,Released
495,435,767,Button.left,Pressed
500,435,767,Button.left,Released
513,435,767,Button.left,Pressed
519,435,767,Button.left,Released
536,435,767,Button.left,Pressed
541,435,767,Button.left,Released
