frame,x,y,button,event
56,253,684,Button.left,Pressed
62,253,684,Button.left,Released
107,282,640,Button.left,Pressed
112,282,640,Button.left,Released
139,286,664,Button.left,Pressed
146,286,664,Button.left,Released
185,272,714,Button.left,Pressed
190,272,714,Button.left,Released
232,264,701,Button.left,Pressed
237,264,701,Button.left,Released
381,207,892,Button.left,Pressed
386,207,892,Button.left,Released
458,577,211,Button.left,Pressed
462,577,211,Button.left,Released
554,199,833,Button.left,Pressed
562,199,833,Button.left,Released
886,305,1064,Button.left,Pressed
889,305,1064,Button.left,Released
