frame,key,event
240,'t',Pressed
244,'t',Released
250,'x',Pressed
258,'x',Released
274,Key.shift,Pressed
278,'_',Pressed
281,Key.shift,Released
300,'g',Pressed
307,'a',Pressed
308,'g',Released
314,'a',Released
316,'n',Pressed
320,'i',Released
322,'n',Released
447,'t',Pressed
451,'t',Released
453,'x',Pressed
459,'x',Released
478,Key.shift,Pressed
481,'_',Pressed
486,Key.shift,Released
516,'g',Pressed
521,'a',Pressed
522,'g',Released
527,'i',Pressed
529,'a',Released
531,'n',Pressed
534,'i',Released
536,'n',Released
747,'2',Pressed
755,'2',Released
763,'0',Pressed
771,'0',Released
871,'1',Pressed
880,'1',Released
934,'7',Pressed
941,'7',Released
948,'0',Pressed
956,'0',Released
1065,'1',Pressed
1071,'1',Released
1186,'2',Pressed
1192,'2',Released
1196,'0',Pressed
1200,'0',Released
1206,'0',Pressed
1214,'0',Released
