frame,x,y,button,event
130,530,770,Button.left,Pressed
136,530,770,Button.left,Released
196,531,764,Button.left,Pressed
202,531,764,Button.left,Released
232,534,768,Button.left,Pressed
238,534,768,Button.left,Released
298,485,768,Button.left,Pressed
305,485,768,Button.left,Released
317,485,768,Button.left,Pressed
323,485,768,Button.left,Released
340,485,768,Button.left,Pressed
346,485,768,Button.left,Released
505,346,1006,Button.left,Pressed
511,346,1006,Button.left,Released
587,177,697,Button.left,Pressed
594,177,697,Button.left,Released
