frame,x,y,button,event
42,165,215,Button.left,Pressed
45,165,215,Button.left,Released
48,165,215,Button.left,Pressed
54,165,215,Button.left,Released
403,914,608,Button.left,Pressed
437,914,608,Button.left,Released
478,982,637,Button.left,Pressed
520,981,643,Button.left,Released
556,1015,676,Button.left,Pressed
599,1015,676,Button.left,Released
664,891,740,Button.left,Pressed
719,882,739,Button.left,Released
888,1056,855,Button.left,Pressed
892,1056,855,Button.left,Released
938,528,248,Button.left,Pressed
941,528,248,Button.left,Released
944,528,248,Button.left,Pressed
952,528,248,Button.left,Released
