frame,x,y,button,event
5,437,760,Button.left,Pressed
11,437,760,Button.left,Released
23,437,760,Button.left,Pressed
28,437,760,Button.left,Released
38,437,760,Button.left,Pressed
43,437,760,Button.left,Released
60,437,761,Button.left,Pressed
65,437,761,Button.left,Released
335,483,765,Button.left,Pressed
340,483,765,Button.left,Released
381,483,781,Button.left,Pressed
386,483,781,Button.left,Released
410,489,776,Button.left,Pressed
416,489,776,Button.left,Released
452,533,763,Button.left,Pressed
456,533,763,Button.left,Released
575,533,763,Button.left,Pressed
581,533,763,Button.left,Released
669,371,1001,Button.left,Pressed
675,371,1001,Button.left,Released
