frame,key,event
307,'p',Pressed
313,'p',Released
327,'h',Pressed
332,'h',Released
334,'a',Pressed
342,'a',Released
348,'s',Pressed
356,'s',Released
360,'e',Pressed
369,'e',Released
482,Key.shift,Pressed
487,'_',Pressed
492,'_',Released
493,Key.shift,Released
513,'b',Pressed
518,'b',Released
647,'w',Pressed
657,'w',Released
1092,Key.backspace,Pressed
1098,Key.backspace,Released
1169,'6',Pressed
1172,'6',Released
1182,",",Pressed
1187,",",Released
1199,'2',Pressed
1207,'2',Released
1215,'8',Pressed
1222,'8',Released
1363,'/',Pressed
1369,'/',Released
1385,'1',Pressed
1391,'0',Pressed
1396,'0',Released
1399,'0',Pressed
1403,'0',Released
1636,'0',Pressed
1644,",",Pressed
1650,",",Released
1652,'0',Pressed
1657,'0',Released
1790,'0',Pressed
1797,'0',Released
1835,Key.backspace,Pressed
1840,Key.backspace,Released
1896,'1',Pressed
1904,'1',Released
1911,",",Pressed
1918,",",Released
1926,'0',Pressed
1932,'0',Released
2059,'0',Pressed
2066,'0',Released
2067,",",Pressed
2073,",",Released
2077,'0',Pressed
2082,'0',Released
2089,'1',Pressed
2093,'1',Released
2226,'2',Pressed
2231,'2',Released
2237,'0',Pressed
2241,'0',Released
2245,'0',Pressed
2249,'0',Released
