frame,x,y,button,event
41,940,525,Button.left,Pressed
45,940,525,Button.left,Released
1005,940,518,Button.left,Pressed
1032,816,495,Button.left,Released
1484,890,541,Button.left,Released
1507,893,554,Button.left,Pressed
1511,893,554,Button.left,Released
1708,928,575,Button.left,Pressed
1711,928,575,Button.left,Released
2010,885,605,Button.left,Pressed
2014,886,608,Button.left,Released
2163,886,677,Button.left,Pressed
2170,886,677,Button.left,Released
2310,1050,850,Button.left,Pressed
2314,1050,850,Button.left,Released
