frame,x,y,button,event
139,478,394,Button.left,Pressed
143,478,394,Button.left,Released
230,10,55,Button.left,Pressed
237,10,55,Button.left,Released
302,999,583,Button.left,Pressed
308,999,583,Button.left,Released
327,1000,576,Button.left,Pressed
332,1000,576,Button.left,Released
458,229,1053,Button.left,Pressed
461,229,1053,Button.left,Released
559,101,64,Button.left,Pressed
563,101,64,Button.left,Released
724,194,122,Button.left,Pressed
728,194,122,Button.left,Released
886,435,127,Button.left,Pressed
890,435,127,Button.left,Released
894,435,127,Button.left,Pressed
899,435,127,Button.left,Released
997,146,128,Button.left,Pressed
1002,146,128,Button.left,Released
1086,226,160,Button.left,Pressed
1092,226,160,Button.left,Released
1250,244,449,Button.left,Pressed
1255,244,449,Button.left,Released
1315,126,91,Button.left,Pressed
1319,126,91,Button.left,Released
1393,129,121,Button.left,Pressed
1397,129,121,Button.left,Released
1488,209,166,Button.left,Pressed
1491,209,167,Button.left,Released
1808,129,108,Button.left,Pressed
1814,129,108,Button.left,Released
2125,491,124,Button.left,Pressed
2133,491,124,Button.left,Released
2204,133,125,Button.left,Pressed
2210,133,125,Button.left,Released
2451,132,142,Button.left,Pressed
2455,132,142,Button.left,Released
2550,128,160,Button.left,Pressed
2555,128,160,Button.left,Released
2627,205,186,Button.left,Pressed
2632,205,186,Button.left,Released
2677,145,178,Button.left,Pressed
2683,145,178,Button.left,Released
2740,245,273,Button.left,Pressed
2744,245,273,Button.left,Released
3036,1623,62,Button.left,Pressed
3041,1623,62,Button.left,Released
3107,762,150,Button.left,Pressed
3111,762,150,Button.left,Released
3117,762,150,Button.left,Pressed
3120,762,150,Button.left,Released
3219,323,171,Button.left,Pressed
3225,323,171,Button.left,Released
3427,125,157,Button.left,Pressed
3430,125,157,Button.left,Released
3473,125,140,Button.left,Pressed
3479,125,141,Button.left,Released
3575,145,220,Button.left,Pressed
3579,145,220,Button.left,Released
3728,1615,48,Button.left,Pressed
3733,1615,49,Button.left,Released
3974,324,1057,Button.left,Pressed
3977,324,1057,Button.left,Released
4051,223,974,Button.left,Pressed
4055,223,974,Button.left,Released
4097,1052,807,Button.left,Pressed
4101,1052,807,Button.left,Released
4128,1052,780,Button.left,Pressed
4132,1053,780,Button.left,Released
