frame,key,event
293,'r',Pressed
302,'r',Released
342,'x',Pressed
351,'x',Released
477,Key.shift,Pressed
481,'_',Pressed
486,'-',Released
501,'g',Pressed
507,'a',Pressed
508,'g',Released
512,'i',Pressed
515,'a',Released
516,'n',Pressed
519,'i',Released
521,'n',Released
637,'r',Pressed
642,'r',Released
651,'x',Pressed
659,'x',Released
688,Key.shift,Pressed
693,'_',Pressed
697,'-',Released
714,'g',Pressed
721,'a',Pressed
728,'i',Pressed
729,'a',Released
732,'n',Pressed
735,'i',Released
738,'n',Released
939,'2',Pressed
944,'0',Pressed
947,'2',Released
950,'0',Released
981,'1',Pressed
987,'1',Released
1043,'7',Pressed
1049,'0',Pressed
1057,'0',Released
1168,'1',Pressed
1178,'1',Released
1295,'2',Pressed
1302,'2',Released
1303,'0',Pressed
1307,'0',Released
1313,'0',Pressed
1320,'0',Released
