frame,key,event
225,'s',Pressed
234,'s',Released
235,'a',Pressed
242,'a',Released
244,'m',Pressed
252,'m',Released
254,'p',Pressed
260,'p',Released
281,Key.shift,Pressed
285,'_',Pressed
289,'-',Released
308,'r',Pressed
314,'a',Pressed
316,'r',Released
323,'a',Released
326,'t',Pressed
331,'t',Released
332,'e',Pressed
341,'e',Released
467,'2',Pressed
474,'2',Released
479,'0',Pressed
485,'0',Released
503,'0',Pressed
507,'0',Released
513,'0',Pressed
517,'0',Released
522,'0',Pressed
527,'0',Released
543,'0',Pressed
547,'0',Released
552,'0',Pressed
555,'0',Released
559,'0',Pressed
563,'0',Released
