frame,x,y,button,event
16,85,328,Button.left,Pressed
21,85,328,Button.left,Released
118,274,390,Button.left,Pressed
121,274,390,Button.left,Released
233,292,389,Button.left,Pressed
236,292,389,Button.left,Released
240,292,389,Button.left,Pressed
246,292,389,Button.left,Released
292,258,386,Button.left,Pressed
298,258,386,Button.left,Released
364,268,404,Button.left,Pressed
366,268,404,Button.left,Released
493,402,410,Button.left,Pressed
498,402,410,Button.left,Released
519,406,408,Button.left,Pressed
524,406,408,Button.left,Released
529,406,408,Button.left,Pressed
535,406,408,Button.left,Released
541,406,408,Button.left,Pressed
546,406,408,Button.left,Released
582,406,408,Button.left,Pressed
586,406,408,Button.left,Released
658,329,436,Button.left,Pressed
663,329,436,Button.left,Released
702,259,443,Button.left,Pressed
707,259,443,Button.left,Released
789,408,444,Button.left,Pressed
796,408,444,Button.left,Released
890,404,445,Button.left,Pressed
895,404,445,Button.left,Released
1037,684,440,Button.left,Pressed
1043,684,440,Button.left,Released
1085,877,347,Button.left,Pressed
1092,877,347,Button.left,Released
