frame,key,event
73,Key.shift,Pressed
80,Key.shift,Released
81,'t',Released
82,Key.shift,Released
83,'r',Released
84,Key.shift,Released
229,'a',Pressed
230,'a',Released
242,'c',Pressed
243,'c',Released
255,'e',Pressed
256,'e',Released
271,Key.shift,Pressed
279,Key.shift,Released
349,Key.shift,Pressed
357,Key.shift,Released
432,Key.backspace,Pressed
433,Key.backspace,Released
445,Key.backspace,Released
461,Key.backspace,Released
507,'a',Pressed
508,'a',Released
514,'c',Pressed
515,'c',Released
523,'e',Pressed
524,'e',Released
545,Key.enter,Released
564,Key.shift,Pressed
572,Key.shift,Released
633,'',Pressed
634,'ͬ',Pressed
671,Key.backspace,Pressed
672,Key.backspace,Released
678,Key.backspace,Pressed
679,Key.backspace,Released
684,Key.shift,Pressed
693,Key.shift,Released
722,'r',Released
730,'t',Released
760,Key.enter,Pressed
761,Key.enter,Released
778,Key.space,Released
796,Key.shift,Pressed
804,Key.shift,Released
1012,Key.shift,Pressed
1022,Key.shift,Released
1041,Key.shift,Pressed
1050,Key.shift,Released
1289,Key.ctrl_l,Pressed
1305,'\x16',Pressed
1306,'\x16',Released
1312,Key.ctrl_l,Released
1359,Key.enter,Released
