frame,x,y,button,event
11,64,371,Button.left,Pressed
14,64,371,Button.left,Released
161,88,495,Button.left,Pressed
166,88,495,Button.left,Released
228,91,497,Button.left,Pressed
235,92,498,Button.left,Released
374,631,285,Button.left,Pressed
389,631,285,Button.left,Released
480,600,430,Button.left,Pressed
484,600,430,Button.left,Released
617,640,341,Button.left,Pressed
621,640,341,Button.left,Released
718,241,389,Button.left,Pressed
726,242,389,Button.left,Released
790,597,414,Button.left,Pressed
802,538,413,Button.left,Released
919,528,434,Button.left,Pressed
922,528,434,Button.left,Released
962,242,465,Button.left,Pressed
967,242,465,Button.left,Released
1029,608,499,Button.left,Pressed
1045,541,499,Button.left,Released
1242,239,541,Button.left,Pressed
1249,239,541,Button.left,Released
1295,605,574,Button.left,Pressed
1308,547,573,Button.left,Released
1480,263,709,Button.left,Pressed
1490,263,709,Button.left,Released
