frame,key,event
903,'h',Released
904,'t',Released
905,'t',Released
906,'p',Released
927,Key.enter,Pressed
928,Key.enter,Released
950,Key.enter,Released
1546,Key.ctrl_l,Pressed
1569,'\x16',Released
1578,Key.ctrl_l,Released
1907,Key.left,Pressed
1908,Key.left,Released
1914,Key.left,Released
1925,Key.left,Released
1928,Key.left,Pressed
1929,Key.left,Released
1936,Key.left,Pressed
1937,Key.left,Released
1961,Key.left,Released
1987,Key.right,Pressed
1988,Key.right,Released
2020,Key.backspace,Pressed
2025,Key.backspace,Released
2032,'2',Released
2059,Key.enter,Pressed
2060,Key.enter,Released
2686,Key.enter,Pressed
2687,Key.enter,Released
