frame,x,y,button,event
65,819,615,Button.left,Pressed
68,819,615,Button.left,Released
174,1165,708,Button.left,Pressed
178,1165,708,Button.left,Released
333,498,19,Button.left,Pressed
338,498,19,Button.left,Released
400,645,77,Button.left,Pressed
408,645,77,Button.left,Released
510,553,1046,Button.left,Pressed
515,553,1046,Button.left,Released
604,37,62,Button.left,Pressed
609,37,62,Button.left,Released
700,1830,83,Button.left,Pressed
707,1830,83,Button.left,Released
775,169,83,Button.left,Pressed
780,169,83,Button.left,Released
1076,10,55,Button.left,Pressed
1082,10,55,Button.left,Released
1160,953,561,Button.left,Pressed
1165,953,561,Button.left,Released
1324,228,1061,Button.left,Pressed
1328,228,1061,Button.left,Released
1455,657,61,Button.left,Pressed
1469,657,61,Button.left,Released
1472,657,61,Button.left,Pressed
1484,657,61,Button.left,Released
1490,657,61,Button.left,Pressed
1496,657,61,Button.left,Released
1855,654,77,Button.left,Pressed
1864,654,77,Button.left,Released
2290,562,1067,Button.left,Pressed
2291,562,1067,Button.left,Released
2367,415,67,Button.left,Pressed
2372,415,67,Button.left,Released
2394,415,104,Button.left,Pressed
2397,415,104,Button.left,Released
2440,403,66,Button.left,Pressed
2442,403,66,Button.left,Released
2510,417,93,Button.left,Pressed
2517,417,93,Button.left,Released
2533,417,91,Button.left,Pressed
2540,417,91,Button.left,Released
2593,419,67,Button.left,Pressed
2600,419,67,Button.left,Released
2621,419,67,Button.left,Pressed
2624,419,67,Button.left,Released
2657,410,81,Button.left,Pressed
2662,410,81,Button.left,Released
2770,87,98,Button.left,Pressed
2773,87,98,Button.left,Released
2795,203,251,Button.left,Pressed
2799,203,251,Button.left,Released
