frame,key,event
273,'f',Pressed
277,'f',Released
283,'f',Pressed
290,'f',Released
322,'t',Pressed
330,'t',Released
358,Key.shift,Pressed
364,'_',Pressed
368,'_',Released
369,Key.shift,Released
384,'l',Pressed
388,'l',Released
394,'e',Pressed
401,'n',Pressed
406,'n',Released
529,'f',Pressed
534,'f',Released
539,'f',Pressed
545,'f',Released
574,'t',Pressed
581,'t',Released
597,Key.shift,Pressed
602,'_',Pressed
606,Key.shift,Released
607,'-',Released
619,'l',Pressed
624,'l',Released
630,'e',Pressed
639,'n',Pressed
643,'n',Released
667,'/',Pressed
670,'/',Released
674,'/',Pressed
678,'/',Released
687,'4',Pressed
694,'4',Released
