frame,key,event
2150,'b',Pressed
2156,'i',Pressed
2158,'b',Released
2162,'i',Released
2166,'n',Pressed
2170,'n',Released
2199,Key.shift,Pressed
2218,'_',Pressed
2222,'_',Released
2225,Key.shift,Released
2237,'s',Pressed
2243,'i',Pressed
2248,'i',Released
2251,'z',Pressed
2257,'z',Released
2265,'e',Pressed
2274,'e',Released
2420,'s',Pressed
2430,'s',Released
2440,'a',Pressed
2449,'a',Released
2470,'m',Pressed
2477,'m',Released
2546,'p',Pressed
2551,'p',Released
2567,Key.shift,Pressed
2570,'_',Pressed
2576,'_',Released
2579,Key.shift,Released
2594,'r',Pressed
2601,'a',Pressed
2603,'r',Released
2606,'a',Released
2616,'t',Pressed
2624,'t',Released
2638,'e',Pressed
2647,'e',Released
