frame,key,event
414,Key.ctrl_l,Pressed
434,'\x16',Released
443,Key.ctrl_l,Released
469,Key.ctrl_l,Pressed
472,'\x16',Pressed
473,'\x16',Released
481,Key.ctrl_l,Released
517,Key.ctrl_l,Pressed
533,'\x01',Pressed
534,'\x01',Released
547,Key.ctrl_l,Released
558,'',Pressed
616,Key.backspace,Pressed
617,Key.backspace,Released
1064,Key.ctrl_l,Pressed
1079,'\x16',Released
1086,Key.ctrl_l,Released
1268,Key.enter,Pressed
1269,Key.enter,Released
1777,Key.backspace,Pressed
1778,Key.backspace,Released
1958,Key.enter,Pressed
1959,Key.enter,Released
11927,'h',Released
11928,'t',Pressed
11929,'t',Pressed
11930,'p',Pressed
11931,'p',Released
11946,Key.enter,Pressed
11947,Key.enter,Released
11975,Key.enter,Released
12004,Key.shift,Pressed
12013,Key.shift,Released
17351,'q',Released
