frame,x,y,button,event
36,200,260,Button.left,Pressed
41,200,260,Button.left,Released
200,216,532,Button.left,Pressed
205,216,532,Button.left,Released
248,216,535,Button.left,Pressed
253,216,535,Button.left,Released
312,216,516,Button.left,Pressed
316,216,516,Button.left,Released
336,216,516,Button.left,Pressed
341,216,516,Button.left,Released
448,100,551,Button.left,Pressed
453,100,551,Button.left,Released
502,252,576,Button.left,Pressed
507,252,576,Button.left,Released
667,247,594,Button.left,Pressed
673,247,594,Button.left,Released
805,244,623,Button.left,Pressed
811,244,623,Button.left,Released
866,245,608,Button.left,Pressed
871,245,608,Button.left,Released
1091,255,608,Button.left,Pressed
1096,255,608,Button.left,Released
1230,239,632,Button.left,Pressed
1233,239,632,Button.left,Released
1371,182,750,Button.left,Pressed
1377,182,750,Button.left,Released
1449,1833,46,Button.left,Pressed
1455,1833,46,Button.left,Released
