frame,x,y,button,event
91,651,144,Button.left,Pressed
93,651,144,Button.left,Released
97,651,144,Button.left,Pressed
103,651,144,Button.left,Released
150,556,148,Button.left,Pressed
156,556,148,Button.left,Released
216,123,151,Button.left,Pressed
221,123,151,Button.left,Released
273,130,138,Button.left,Pressed
279,130,138,Button.left,Released
356,147,239,Button.left,Pressed
360,147,239,Button.left,Released
397,263,282,Button.left,Pressed
401,263,282,Button.left,Released
456,125,112,Button.left,Pressed
463,125,112,Button.left,Released
510,137,133,Button.left,Pressed
518,137,133,Button.left,Released
615,1613,80,Button.left,Pressed
618,1613,80,Button.left,Released
738,306,1066,Button.left,Pressed
740,306,1066,Button.left,Released
