frame,key,event
203,'r',Pressed
210,'a',Pressed
212,'r',Released
218,'a',Released
222,'n',Pressed
227,'n',Released
239,'g',Pressed
244,'g',Released
246,'e',Pressed
254,'e',Released
328,Key.shift,Pressed
332,'(',Pressed
338,'(',Released
349,')',Pressed
357,')',Released
358,Key.shift,Released
389,Key.left,Pressed
396,Key.left,Released
495,'p',Pressed
502,'a',Pressed
511,'a',Released
542,'c',Pressed
548,'k',Pressed
550,'c',Released
556,'k',Released
600,'e',Pressed
605,'e',Released
613,'t',Pressed
619,'t',Released
630,Key.shift,Pressed
636,'_',Pressed
640,Key.shift,Released
641,'-',Released
658,'l',Released
662,'e',Pressed
670,'n',Pressed
674,'n',Released
