frame,x,y,button,event
116,594,262,Button.left,Pressed
121,594,262,Button.left,Released
225,1722,583,Button.left,Pressed
229,1722,582,Button.left,Released
284,1825,674,Button.left,Pressed
291,1827,679,Button.left,Released
316,1834,685,Button.left,Pressed
321,1834,685,Button.left,Released
403,1269,95,Button.left,Pressed
411,1269,95,Button.left,Released
623,466,1054,Button.left,Pressed
629,466,1054,Button.left,Released
734,1254,98,Button.left,Pressed
740,1255,98,Button.left,Released
849,56,292,Button.left,Pressed
855,56,292,Button.left,Released
1100,577,586,Button.left,Pressed
1104,577,585,Button.left,Released
1216,770,611,Button.left,Pressed
1226,770,611,Button.left,Released
1475,657,648,Button.left,Pressed
1483,657,648,Button.left,Released
