frame,key,event
236,Key.backspace,Pressed
245,Key.backspace,Released
289,'n',Pressed
294,'n',Released
320,'y',Pressed
328,'y',Released
382,'q',Pressed
389,'u',Pressed
390,'q',Released
395,'u',Released
399,'i',Pressed
405,'i',Released
406,'s',Pressed
414,'s',Released
429,'t',Pressed
437,'t',Released
463,Key.shift,Pressed
467,'_',Pressed
472,'_',Released
474,Key.shift,Released
493,'t',Pressed
501,'t',Released
503,'a',Pressed
508,'a',Released
518,Key.backspace,Pressed
524,Key.backspace,Released
529,Key.backspace,Pressed
534,Key.backspace,Released
537,'r',Pressed
543,'a',Pressed
546,'r',Released
550,'a',Released
561,'t',Pressed
578,'e',Pressed
587,'e',Released
658,'/',Pressed
663,'/',Released
674,'2',Pressed
682,'2',Released
