frame,key,event
580,Key.ctrl_l,Pressed
601,'\x16',Pressed
602,'\x16',Released
610,Key.ctrl_l,Released
650,Key.ctrl_l,Pressed
660,'\x16',Released
671,Key.ctrl_l,Released
1034,Key.ctrl_l,Pressed
1061,'\x16',Pressed
1062,'\x16',Released
1071,Key.ctrl_l,Released
1087,Key.enter,Pressed
1088,Key.enter,Released
1409,Key.alt_l,Released
1410,Key.ctrl_l,Released
2567,Key.alt_l,Released
2568,Key.ctrl_l,Released
2907,Key.ctrl_l,Pressed
2922,'\x16',Pressed
2923,'\x16',Released
2930,Key.ctrl_l,Released
2970,Key.enter,Pressed
2971,Key.enter,Released
3201,Key.backspace,Released
4426,Key.shift,Released
4427,Key.ctrl_l,Released
4598,Key.ctrl_l,Pressed
4612,'\x16',Released
4622,Key.ctrl_l,Released
4641,Key.enter,Released
6683,Key.shift,Released
6684,Key.ctrl_l,Released
11654,Key.alt_l,Released
11655,Key.ctrl_l,Released
13874,'h',Pressed
13875,'h',Released
13876,'t',Released
13877,'t',Released
13878,'p',Released
13915,Key.enter,Released
13940,Key.shift,Pressed
13948,Key.shift,Released
13964,Key.enter,Pressed
13965,Key.enter,Released
14067,'s',Pressed
14068,'s',Released
14106,Key.enter,Released
14147,Key.backspace,Released
14174,Key.backspace,Released
14245,Key.down,Released
14265,Key.enter,Pressed
14266,Key.enter,Released
14290,Key.enter,Pressed
14291,Key.enter,Released
14458,Key.alt_l,Released
14459,Key.ctrl_l,Released
15068,Key.alt_l,Pressed
15077,Key.tab,Released
15096,Key.alt_l,Released
15122,Key.alt_l,Pressed
15126,Key.tab,Pressed
15127,Key.tab,Released
15141,Key.alt_l,Released
15151,Key.alt_l,Pressed
15155,Key.tab,Pressed
15156,Key.tab,Released
15169,Key.alt_l,Released
15183,Key.alt_l,Pressed
15191,Key.tab,Released
15200,Key.alt_l,Released
15210,Key.alt_l,Pressed
15215,Key.tab,Released
15219,Key.alt_l,Released
15387,Key.alt_l,Pressed
15391,Key.tab,Released
15395,Key.alt_l,Released
15520,Key.backspace,Released
15697,Key.enter,Released
16599,'t',Released
16610,'c',Pressed
16611,'c',Released
16616,'p',Released
16628,Key.enter,Pressed
16629,Key.enter,Released
16640,Key.enter,Pressed
16641,Key.enter,Released
17313,Key.shift,Released
17314,Key.ctrl_l,Released
17348,Key.alt_l,Pressed
17353,Key.tab,Pressed
17354,Key.tab,Released
17387,Key.alt_l,Released
17458,Key.alt_l,Pressed
17462,Key.tab,Pressed
17463,Key.tab,Released
17472,Key.alt_l,Released
