frame,x,y,button,event
28,1218,239,Button.left,Released
174,580,233,Button.left,Pressed
175,580,233,Button.left,Released
372,219,1059,Button.left,Pressed
375,219,1059,Button.left,Released
500,702,37,Button.left,Pressed
508,702,37,Button.left,Released
633,714,65,Button.left,Pressed
640,714,65,Button.left,Released
998,509,72,Button.left,Pressed
1001,509,72,Button.left,Released
1464,515,1072,Button.left,Pressed
1468,516,1072,Button.left,Released
1573,435,91,Button.left,Pressed
1580,435,91,Button.left,Released
1602,435,88,Button.left,Pressed
1604,435,88,Button.left,Released
2011,230,1061,Button.left,Pressed
2014,230,1061,Button.left,Released
2276,479,73,Button.left,Pressed
2281,479,73,Button.left,Released
2599,363,51,Button.left,Pressed
2604,363,51,Button.left,Released
2703,506,1050,Button.left,Released
2773,343,86,Button.left,Pressed
2775,343,86,Button.left,Released
3063,62,81,Button.left,Pressed
3065,62,81,Button.left,Released
3161,250,85,Button.left,Pressed
3167,250,85,Button.left,Released
3171,250,85,Button.left,Pressed
3176,250,85,Button.left,Released
3178,250,85,Button.left,Pressed
3185,250,85,Button.left,Released
4493,465,81,Button.left,Pressed
4496,465,81,Button.left,Released
5243,114,73,Button.left,Pressed
5248,114,73,Button.left,Released
5252,114,73,Button.left,Pressed
5258,114,73,Button.left,Released
5295,57,56,Button.left,Pressed
5300,57,56,Button.left,Released
5365,1014,568,Button.left,Pressed
5369,1014,568,Button.left,Released
5690,1805,86,Button.left,Pressed
5693,1805,86,Button.left,Released
5983,786,85,Button.left,Pressed
5987,786,85,Button.left,Released
6726,213,1064,Button.left,Pressed
6729,213,1064,Button.left,Released
7047,523,1058,Button.left,Pressed
7051,523,1058,Button.left,Released
7136,523,1059,Button.left,Pressed
7141,523,1059,Button.left,Released
7164,523,1059,Button.left,Pressed
7169,523,1059,Button.left,Released
7194,523,1059,Button.left,Released
7195,523,1059,Button.left,Pressed
7196,523,1059,Button.left,Released
7220,523,1059,Button.left,Pressed
7224,523,1059,Button.left,Released
7344,524,1059,Button.left,Pressed
7349,524,1059,Button.left,Released
7443,298,85,Button.left,Pressed
7447,298,85,Button.left,Released
8773,1893,254,Button.left,Pressed
8775,1893,255,Button.left,Released
8780,1893,255,Button.left,Pressed
8783,1893,255,Button.left,Released
8794,1893,263,Button.left,Pressed
8797,1893,263,Button.left,Released
8815,1908,273,Button.left,Pressed
8820,1909,273,Button.left,Released
8826,1909,273,Button.left,Pressed
8829,1909,273,Button.left,Released
8834,1909,273,Button.left,Pressed
8837,1909,273,Button.left,Released
8857,1909,273,Button.left,Pressed
8862,1909,273,Button.left,Released
8865,1909,273,Button.left,Pressed
8872,1909,273,Button.left,Released
8876,1909,273,Button.left,Pressed
8881,1909,273,Button.left,Released
9329,1086,702,Button.left,Pressed
9331,1086,702,Button.left,Released
10473,294,87,Button.left,Pressed
10480,294,87,Button.left,Released
10533,341,103,Button.left,Pressed
10536,341,103,Button.left,Released
10574,363,106,Button.left,Pressed
10577,363,106,Button.left,Released
10796,44,100,Button.left,Pressed
10799,44,100,Button.left,Released
10882,50,106,Button.left,Pressed
10886,50,106,Button.left,Released
10934,54,106,Button.left,Pressed
10939,54,106,Button.left,Released
10975,94,104,Button.left,Pressed
10981,94,104,Button.left,Released
11016,110,108,Button.left,Pressed
11019,110,108,Button.left,Released
11318,1906,463,Button.left,Pressed
11376,1900,536,Button.left,Released
11703,224,1056,Button.left,Pressed
11708,224,1056,Button.left,Released
11746,538,478,Button.left,Pressed
11749,538,478,Button.left,Released
11863,101,40,Button.left,Pressed
11867,101,40,Button.left,Released
11882,101,50,Button.left,Pressed
11888,101,50,Button.left,Released
12953,522,1067,Button.left,Pressed
12957,523,1067,Button.left,Released
13029,566,1001,Button.left,Pressed
13034,566,1001,Button.left,Released
13166,1620,84,Button.left,Pressed
13170,1620,84,Button.left,Released
13237,520,1074,Button.left,Pressed
13239,520,1074,Button.left,Released
13769,660,87,Button.left,Pressed
13774,660,87,Button.left,Released
14519,223,1061,Button.left,Pressed
14520,223,1061,Button.left,Released
14580,108,72,Button.left,Pressed
14584,108,72,Button.left,Released
14752,516,1066,Button.left,Pressed
14755,516,1066,Button.left,Released
14843,395,509,Button.left,Pressed
14881,482,442,Button.left,Released
15334,744,676,Button.left,Pressed
15336,744,677,Button.left,Released
15460,293,87,Button.left,Pressed
15464,293,87,Button.left,Released
15469,293,87,Button.left,Pressed
15472,293,87,Button.left,Released
15477,293,87,Button.left,Pressed
15484,293,87,Button.left,Released
15599,101,86,Button.left,Pressed
15603,101,86,Button.left,Released
16282,473,112,Button.left,Pressed
16288,473,112,Button.left,Released
16332,473,112,Button.left,Pressed
16337,473,112,Button.left,Released
16379,473,112,Button.left,Pressed
16386,473,112,Button.left,Released
16524,452,82,Button.left,Pressed
16530,452,82,Button.left,Released
17431,95,59,Button.left,Pressed
17436,95,59,Button.left,Released
17791,651,144,Button.left,Pressed
17793,651,144,Button.left,Released
17797,651,144,Button.left,Pressed
17803,651,144,Button.left,Released
17850,556,148,Button.left,Pressed
17856,556,148,Button.left,Released
17916,123,151,Button.left,Pressed
17921,123,151,Button.left,Released
17973,130,138,Button.left,Pressed
17979,130,138,Button.left,Released
18056,147,239,Button.left,Pressed
18060,147,239,Button.left,Released
18097,263,282,Button.left,Pressed
18101,263,282,Button.left,Released
18156,125,112,Button.left,Pressed
18163,125,112,Button.left,Released
18210,137,133,Button.left,Pressed
18218,137,133,Button.left,Released
