frame,x,y,button,event
27,262,714,Button.left,Pressed
36,262,714,Button.left,Released
123,466,880,Button.left,Pressed
131,466,880,Button.left,Released
415,440,819,Button.left,Pressed
421,440,819,Button.left,Released
454,417,822,Button.left,Pressed
461,417,822,Button.left,Released
502,404,823,Button.left,Pressed
509,403,823,Button.left,Released
532,389,824,Button.left,Pressed
540,385,825,Button.left,Released
856,452,807,Button.left,Pressed
952,466,813,Button.left,Released
1002,383,823,Button.left,Pressed
1174,379,822,Button.left,Released
1405,430,838,Button.left,Pressed
1501,457,838,Button.left,Released
1571,466,872,Button.left,Pressed
1665,477,871,Button.left,Released
1695,420,889,Button.left,Pressed
1785,407,881,Button.left,Released
1832,202,717,Button.left,Pressed
1838,202,717,Button.left,Released
1864,173,766,Button.left,Pressed
1870,173,766,Button.left,Released
